Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/locations/parks/?name=MARTIN%20GROVE%20GARDENS%20PARK,2,0,4.114651999998387,36.1720264999974,4.114651999998387,68.22940099999641,1553.0,0.03322647591731787,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/api/locations/parks/?name=MARYLAND%20PARK,2,0,6,214.71657250002352,5.575290000024324,423.8578550000227,2348.0,0.03322647591731787,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/api/locations/parks/?name=MARYVALE%20PARK,3,0,7,303.7454816666525,3.3244919999901867,900.6441199999813,1435.0,0.04983971387597681,0.0,7,7,900,900,900,900,900,900,900,900,900
GET,/api/locations/parks/?name=MCDAIRMID%20WOODS%20PARK,6,0,7,193.84206449999417,3.1413629999974546,978.8285239999936,1491.0,0.09967942775195363,0.0,8,8,160,160,980,980,980,980,980,980,980
GET,/api/locations/parks/?name=MCGREGOR%20PARK,3,0,65,223.54527966666637,3.338432999981933,601.843419000005,1443.0,0.04983971387597681,0.0,65,65,600,600,600,600,600,600,600,600,600
GET,/api/locations/parks/?name=MCNICOLL%20PARK,4,0,280.0,722.4385632500016,6.469992999996066,1617.5172199999963,1435.0,0.06645295183463575,0.0,990,990,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/locations/parks/?name=MILL%20VALLEY%20PARK,1,0,4.002696000014794,4.002696000014794,4.002696000014794,4.002696000014794,972.0,0.016613237958658936,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/locations/parks/?name=MILLWOOD%20PARK,5,0,13,97.86592880000171,5.424395000005688,350.94377299998314,1444.0,0.08306618979329469,0.0,13,110,110,350,350,350,350,350,350,350,350
GET,/api/locations/parks/?name=MIMICO%20MEMORIAL%20PARK,1,0,669.6687460000135,669.6687460000135,669.6687460000135,669.6687460000135,1913.0,0.016613237958658936,0.0,670,670,670,670,670,670,670,670,670,670,670
GET,/api/locations/parks/?name=MOORE%20PARK,2,0,4,3.977155499995888,3.6408940000001166,4.313416999991659,1400.0,0.03322647591731787,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/locations/parks/?name=MOOREVALE%20PARK,2,0,4,34.57829350000452,3.6338879999959772,65.52269900001306,2839.0,0.03322647591731787,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/api/locations/parks/?name=MOSS%20PARK,2,0,10,25.351570499992704,9.614572999993243,41.088567999992165,949.0,0.03322647591731787,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/locations/parks/?name=NORTH%20BENDALE%20PARK,4,0,5,24.720078249998778,4.055892999986099,81.70563699999889,1470.0,0.06645295183463575,0.0,8,8,82,82,82,82,82,82,82,82,82
GET,/api/locations/parks/?name=NORTH%20PARK,3,0,22,32.90770633333295,3.1452709999939543,74.0488790000029,940.0,0.04983971387597681,0.0,22,22,74,74,74,74,74,74,74,74,74
GET,/api/locations/parks/?name=NORWOOD%20PARK,3,0,75,501.2145996666675,31.760703999992757,1396.7777790000184,2390.0,0.04983971387597681,0.0,75,75,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/locations/parks/?name=OLD%20MILL%20SITE%20PARK,2,0,55.26559800000541,343.51627850000455,55.26559800000541,631.7669590000037,1970.0,0.03322647591731787,0.0,630,630,630,630,630,630,630,630,630,630,630
GET,/api/locations/parks/?name=ORIOLE%20PARK%20-%20NORTH%20YORK,3,0,22,27.826613999981948,5.6568499999798405,55.987408999982335,2042.0,0.04983971387597681,0.0,22,22,56,56,56,56,56,56,56,56,56
GET,/api/locations/parks/?name=ORIOLE%20PARK%20-%20TORONTO,2,0,4,18.759357499988027,3.808670999973174,33.71004400000288,1015.0,0.03322647591731787,0.0,34,34,34,34,34,34,34,34,34,34,34
